"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"55-59 years","55-59","2000","2000","Male","M","White","2106-3",15,457968,Unreliable
,"55-59 years","55-59","2001","2001","Male","M","White","2106-3",14,475637,Unreliable
,"55-59 years","55-59","2002","2002","Male","M","White","2106-3",24,520155,4.6
,"55-59 years","55-59","2003","2003","Male","M","White","2106-3",18,538930,Unreliable
,"55-59 years","55-59","2004","2004","Male","M","Black or African American","2054-5",13,52424,Unreliable
,"55-59 years","55-59","2004","2004","Male","M","White","2106-3",18,557852,Unreliable
,"55-59 years","55-59","2005","2005","Female","F","White","2106-3",10,586517,Unreliable
,"55-59 years","55-59","2005","2005","Male","M","Black or African American","2054-5",12,56300,Unreliable
,"55-59 years","55-59","2005","2005","Male","M","White","2106-3",14,577409,Unreliable
,"55-59 years","55-59","2006","2006","Female","F","White","2106-3",13,603235,Unreliable
,"55-59 years","55-59","2006","2006","Male","M","Black or African American","2054-5",17,59904,Unreliable
,"55-59 years","55-59","2006","2006","Male","M","White","2106-3",20,593635,3.4
,"55-59 years","55-59","2007","2007","Male","M","White","2106-3",22,578187,3.8
,"55-59 years","55-59","2008","2008","Female","F","White","2106-3",10,593024,Unreliable
,"55-59 years","55-59","2008","2008","Male","M","Black or African American","2054-5",22,62984,34.9
,"55-59 years","55-59","2008","2008","Male","M","White","2106-3",18,583062,Unreliable
,"55-59 years","55-59","2009","2009","Male","M","Black or African American","2054-5",13,65456,Unreliable
,"55-59 years","55-59","2009","2009","Male","M","White","2106-3",25,592266,4.2
